Kategori,Subkategori,Deskripsi
Perangkat Lunak,Aplikasi berhenti mendadak saat proses build,Pengguna melaporkan aplikasi berhenti mendadak saat proses build. Diperlukan investigasi lebih lanjut.
Jaringan,Switch terlalu panas,Pengguna melaporkan switch terlalu panas. Diperlukan investigasi lebih lanjut.
Keamanan,Pelanggaran kebijakan mencurigakan,Pengguna melaporkan pelanggaran kebijakan mencurigakan. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan SIEM,Pengguna melaporkan akses ditolak oleh kebijakan siem. Diperlukan investigasi lebih lanjut.
Keamanan,Peringatan perangkat seluler mencurigakan,Pengguna melaporkan peringatan perangkat seluler mencurigakan. Diperlukan investigasi lebih lanjut.
Keamanan,Eksekusi proses mencurigakan,Pengguna melaporkan eksekusi proses mencurigakan. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan CASB,Pengguna melaporkan akses ditolak oleh kebijakan casb. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: SNMP salah konfigurasi,Pengguna melaporkan jaringan: snmp salah konfigurasi. Diperlukan investigasi lebih lanjut.
Akses,Token akses salah konfigurasi,Pengguna melaporkan token akses salah konfigurasi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop bermasalah,Pengguna melaporkan layar laptop bermasalah. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Casing laptop retak,Pengguna melaporkan casing laptop retak. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kesalahan subnet mask,Pengguna melaporkan jaringan: kesalahan subnet mask. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kegagalan repeater,Pengguna melaporkan jaringan: kegagalan repeater. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat memuat modul,Pengguna melaporkan aplikasi berhenti mendadak saat memuat modul. Diperlukan investigasi lebih lanjut.
Akses,Ketidaksesuaian peran akses,Pengguna melaporkan ketidaksesuaian peran akses. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: IPv6 salah konfigurasi,Pengguna melaporkan jaringan: ipv6 salah konfigurasi. Diperlukan investigasi lebih lanjut.
Keamanan,Situs phishing diblokir,Pengguna melaporkan situs phishing diblokir. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kesalahan compiler,Pengguna melaporkan kesalahan compiler. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Memori aplikasi meluap,Pengguna melaporkan memori aplikasi meluap. Diperlukan investigasi lebih lanjut.
Jaringan,Masalah konektivitas Wi-Fi,Pengguna melaporkan masalah konektivitas wi-fi. Diperlukan investigasi lebih lanjut.
Keamanan,Penggunaan token JWT mencurigakan,Pengguna melaporkan penggunaan token jwt mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat pembuatan snapshot VM,Pengguna melaporkan aplikasi berhenti mendadak saat pembuatan snapshot vm. Diperlukan investigasi lebih lanjut.
Jaringan,Firmware router sudah usang,Pengguna melaporkan firmware router sudah usang. Diperlukan investigasi lebih lanjut.
Jaringan,Kehilangan paket terdeteksi,Pengguna melaporkan kehilangan paket terdeteksi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop engselnya rusak,Pengguna melaporkan layar laptop engselnya rusak. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Mikrofon headset tidak berfungsi,Pengguna melaporkan mikrofon headset tidak berfungsi. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh basis data,Pengguna melaporkan akses ditolak oleh basis data. Diperlukan investigasi lebih lanjut.
Keamanan,Shadow IT mencurigakan terdeteksi,Pengguna melaporkan shadow it mencurigakan terdeteksi. Diperlukan investigasi lebih lanjut.
Akses,Reset PIN diperlukan,Pengguna melaporkan reset pin diperlukan. Diperlukan investigasi lebih lanjut.
Keamanan,Aktivitas container mencurigakan,Pengguna melaporkan aktivitas container mencurigakan. Diperlukan investigasi lebih lanjut.
Akses,Akses pengguna ditolak,Pengguna melaporkan akses pengguna ditolak. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat memuat framework,Pengguna melaporkan aplikasi berhenti mendadak saat memuat framework. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kesalahan tunneling,Pengguna melaporkan jaringan: kesalahan tunneling. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kesalahan sistem operasi,Pengguna melaporkan kesalahan sistem operasi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kegagalan kipas laptop,Pengguna melaporkan kegagalan kipas laptop. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat otomatisasi,Pengguna melaporkan aplikasi berhenti mendadak saat otomatisasi. Diperlukan investigasi lebih lanjut.
Keamanan,Aktivitas orang dalam mencurigakan,Pengguna melaporkan aktivitas orang dalam mencurigakan. Diperlukan investigasi lebih lanjut.
Akses,Masalah izin drive bersama,Pengguna melaporkan masalah izin drive bersama. Diperlukan investigasi lebih lanjut.
Keamanan,Penggunaan token OAuth mencurigakan,Pengguna melaporkan penggunaan token oauth mencurigakan. Diperlukan investigasi lebih lanjut.
Keamanan,Serangan replay mencurigakan,Pengguna melaporkan serangan replay mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Keyboard tidak berfungsi dengan baik,Pengguna melaporkan keyboard tidak berfungsi dengan baik. Diperlukan investigasi lebih lanjut.
Jaringan,Kesalahan NAT firewall,Pengguna melaporkan kesalahan nat firewall. Diperlukan investigasi lebih lanjut.
Keamanan,Percobaan login brute force,Pengguna melaporkan percobaan login brute force. Diperlukan investigasi lebih lanjut.
Jaringan,Hotspot tidak berfungsi,Pengguna melaporkan hotspot tidak berfungsi. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan IAM,Pengguna melaporkan akses ditolak oleh kebijakan iam. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: DNS cache poisoning,Pengguna melaporkan jaringan: dns cache poisoning. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop berwarna jingga,Pengguna melaporkan layar laptop berwarna jingga. Diperlukan investigasi lebih lanjut.
Akses,Kegagalan audit akses,Pengguna melaporkan kegagalan audit akses. Diperlukan investigasi lebih lanjut.
Keamanan,Peringatan ICS mencurigakan,Pengguna melaporkan peringatan ics mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop menampilkan bayangan gambar,Pengguna melaporkan layar laptop menampilkan bayangan gambar. Diperlukan investigasi lebih lanjut.
Keamanan,Peringatan perangkat OT mencurigakan,Pengguna melaporkan peringatan perangkat ot mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop berwarna kekuningan,Pengguna melaporkan layar laptop berwarna kekuningan. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan khusus,Pengguna melaporkan akses ditolak oleh kebijakan khusus. Diperlukan investigasi lebih lanjut.
Perangkat Keras,SSD eksternal terlalu panas,Pengguna melaporkan ssd eksternal terlalu panas. Diperlukan investigasi lebih lanjut.
Akses,Kesalahan akses berbasis peran,Pengguna melaporkan kesalahan akses berbasis peran. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Pembaruan perangkat lunak berulang terus,Pengguna melaporkan pembaruan perangkat lunak berulang terus. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Ketidaksesuaian konfigurasi aplikasi,Pengguna melaporkan ketidaksesuaian konfigurasi aplikasi. Diperlukan investigasi lebih lanjut.
Keamanan,Login SaaS mencurigakan,Pengguna melaporkan login saas mencurigakan. Diperlukan investigasi lebih lanjut.
Akses,Eskalasi hak akses diblokir,Pengguna melaporkan eskalasi hak akses diblokir. Diperlukan investigasi lebih lanjut.
Keamanan,Patch keamanan tidak tersedia,Pengguna melaporkan patch keamanan tidak tersedia. Diperlukan investigasi lebih lanjut.
Keamanan,Unduhan file mencurigakan,Pengguna melaporkan unduhan file mencurigakan. Diperlukan investigasi lebih lanjut.
Keamanan,Endpoint tidak memenuhi kepatuhan,Pengguna melaporkan endpoint tidak memenuhi kepatuhan. Diperlukan investigasi lebih lanjut.
Jaringan,Bandwidth terlampaui,Pengguna melaporkan bandwidth terlampaui. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kegagalan autentikasi,Pengguna melaporkan jaringan: kegagalan autentikasi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,GPU terlalu panas,Pengguna melaporkan gpu terlalu panas. Diperlukan investigasi lebih lanjut.
Jaringan,Batas waktu gateway habis,Pengguna melaporkan batas waktu gateway habis. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Laptop tidak dapat menyala,Pengguna melaporkan laptop tidak dapat menyala. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat pemulihan VM,Pengguna melaporkan aplikasi berhenti mendadak saat pemulihan vm. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh proxy,Pengguna melaporkan akses ditolak oleh proxy. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh router,Pengguna melaporkan akses ditolak oleh router. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kegagalan baterai CMOS laptop,Pengguna melaporkan kegagalan baterai cmos laptop. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Baterai laptop menggembung,Pengguna melaporkan baterai laptop menggembung. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat logout,Pengguna melaporkan aplikasi berhenti mendadak saat logout. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat keluar,Pengguna melaporkan aplikasi berhenti mendadak saat keluar. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Drive CD/DVD tidak berfungsi,Pengguna melaporkan drive cd/dvd tidak berfungsi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat impor,Pengguna melaporkan aplikasi berhenti mendadak saat impor. Diperlukan investigasi lebih lanjut.
Keamanan,Tunneling lalu lintas mencurigakan,Pengguna melaporkan tunneling lalu lintas mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Klien email tidak melakukan sinkronisasi,Pengguna melaporkan klien email tidak melakukan sinkronisasi. Diperlukan investigasi lebih lanjut.
Akses,Masalah keanggotaan grup,Pengguna melaporkan masalah keanggotaan grup. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kegagalan speaker/audio,Pengguna melaporkan kegagalan speaker/audio. Diperlukan investigasi lebih lanjut.
Keamanan,Kata sandi lemah terdeteksi,Pengguna melaporkan kata sandi lemah terdeteksi. Diperlukan investigasi lebih lanjut.
Keamanan,Perubahan registry mencurigakan,Pengguna melaporkan perubahan registry mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop menampilkan layar hitam,Pengguna melaporkan layar laptop menampilkan layar hitam. Diperlukan investigasi lebih lanjut.
Keamanan,Makro berbahaya terdeteksi,Pengguna melaporkan makro berbahaya terdeteksi. Diperlukan investigasi lebih lanjut.
Akses,Reset kata sandi,Pengguna melaporkan reset kata sandi. Diperlukan investigasi lebih lanjut.
Akses,Kunci API kedaluwarsa,Pengguna melaporkan kunci api kedaluwarsa. Diperlukan investigasi lebih lanjut.
Keamanan,Pelanggaran ISO mencurigakan,Pengguna melaporkan pelanggaran iso mencurigakan. Diperlukan investigasi lebih lanjut.
Keamanan,Keylogger terdeteksi,Pengguna melaporkan keylogger terdeteksi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Antarmuka pengguna tidak merespons,Pengguna melaporkan antarmuka pengguna tidak merespons. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kegagalan SSL VPN,Pengguna melaporkan jaringan: kegagalan ssl vpn. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Instalasi perangkat lunak gagal,Pengguna melaporkan instalasi perangkat lunak gagal. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Jenis file tidak dikenali,Pengguna melaporkan jenis file tidak dikenali. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat deployment VM,Pengguna melaporkan aplikasi berhenti mendadak saat deployment vm. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kesalahan koneksi basis data,Pengguna melaporkan kesalahan koneksi basis data. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh kebijakan GDPR,Pengguna melaporkan akses ditolak oleh kebijakan gdpr. Diperlukan investigasi lebih lanjut.
Keamanan,Penggunaan token API mencurigakan,Pengguna melaporkan penggunaan token api mencurigakan. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: server DHCP tidak aktif,Pengguna melaporkan jaringan: server dhcp tidak aktif. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop berwarna ungu,Pengguna melaporkan layar laptop berwarna ungu. Diperlukan investigasi lebih lanjut.
Akses,Login biometrik gagal,Pengguna melaporkan login biometrik gagal. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: ketidaksesuaian MTU,Pengguna melaporkan jaringan: ketidaksesuaian mtu. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kegagalan hub,Pengguna melaporkan jaringan: kegagalan hub. Diperlukan investigasi lebih lanjut.
Akses,Pemantauan akses dinonaktifkan,Pengguna melaporkan pemantauan akses dinonaktifkan. Diperlukan investigasi lebih lanjut.
Akses,Akses kartu identitas/fisik ditolak,Pengguna melaporkan akses kartu identitas/fisik ditolak. Diperlukan investigasi lebih lanjut.
Keamanan,Peringatan endpoint mencurigakan,Pengguna melaporkan peringatan endpoint mencurigakan. Diperlukan investigasi lebih lanjut.
Akses,Kesalahan sinkronisasi direktori,Pengguna melaporkan kesalahan sinkronisasi direktori. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Sesi berakhir karena batas waktu,Pengguna melaporkan sesi berakhir karena batas waktu. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Kesalahan kartrid tinta printer,Pengguna melaporkan kesalahan kartrid tinta printer. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Baterai tidak mengisi daya,Pengguna melaporkan baterai tidak mengisi daya. Diperlukan investigasi lebih lanjut.
Keamanan,Peringatan SIEM mencurigakan,Pengguna melaporkan peringatan siem mencurigakan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,File konfigurasi tidak ditemukan,Pengguna melaporkan file konfigurasi tidak ditemukan. Diperlukan investigasi lebih lanjut.
Akses,Pelanggaran kebijakan akses,Pengguna melaporkan pelanggaran kebijakan akses. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop berwarna merah muda,Pengguna melaporkan layar laptop berwarna merah muda. Diperlukan investigasi lebih lanjut.
Akses,Autentikasi LDAP gagal,Pengguna melaporkan autentikasi ldap gagal. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: ketidaksesuaian duplex,Pengguna melaporkan jaringan: ketidaksesuaian duplex. Diperlukan investigasi lebih lanjut.
Keamanan,Penyalahgunaan hak akses mencurigakan,Pengguna melaporkan penyalahgunaan hak akses mencurigakan. Diperlukan investigasi lebih lanjut.
Akses,Smart card tidak dikenali,Pengguna melaporkan smart card tidak dikenali. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: peringatan IDS,Pengguna melaporkan jaringan: peringatan ids. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: server syslog tidak aktif,Pengguna melaporkan jaringan: server syslog tidak aktif. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Browser berhenti mendadak,Pengguna melaporkan browser berhenti mendadak. Diperlukan investigasi lebih lanjut.
Jaringan,Panggilan VoIP terputus,Pengguna melaporkan panggilan voip terputus. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh gateway,Pengguna melaporkan akses ditolak oleh gateway. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: tabrakan jaringan terdeteksi,Pengguna melaporkan jaringan: tabrakan jaringan terdeteksi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop menampilkan garis horizontal,Pengguna melaporkan layar laptop menampilkan garis horizontal. Diperlukan investigasi lebih lanjut.
Jaringan,SSID tidak terlihat,Pengguna melaporkan ssid tidak terlihat. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh firewall,Pengguna melaporkan akses ditolak oleh firewall. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Kegagalan sinkronisasi cloud,Pengguna melaporkan kegagalan sinkronisasi cloud. Diperlukan investigasi lebih lanjut.
Akses,Akun tamu dinonaktifkan,Pengguna melaporkan akun tamu dinonaktifkan. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: akses tidak sah,Pengguna melaporkan jaringan: akses tidak sah. Diperlukan investigasi lebih lanjut.
Jaringan,Gangguan internet,Pengguna melaporkan gangguan internet. Diperlukan investigasi lebih lanjut.
Akses,Lisensi kedaluwarsa,Pengguna melaporkan lisensi kedaluwarsa. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kesalahan split horizon,Pengguna melaporkan jaringan: kesalahan split horizon. Diperlukan investigasi lebih lanjut.
Keamanan,ARP spoofing mencurigakan,Pengguna melaporkan arp spoofing mencurigakan. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kesalahan rute statis,Pengguna melaporkan jaringan: kesalahan rute statis. Diperlukan investigasi lebih lanjut.
Keamanan,Insiden kebocoran data,Pengguna melaporkan insiden kebocoran data. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Hub USB tidak dikenali,Pengguna melaporkan hub usb tidak dikenali. Diperlukan investigasi lebih lanjut.
Keamanan,Trojan terdeteksi,Pengguna melaporkan trojan terdeteksi. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Konflik patch,Pengguna melaporkan konflik patch. Diperlukan investigasi lebih lanjut.
Keamanan,Pemanggilan API tidak sah,Pengguna melaporkan pemanggilan api tidak sah. Diperlukan investigasi lebih lanjut.
Jaringan,Layanan cloud tidak dapat dijangkau,Pengguna melaporkan layanan cloud tidak dapat dijangkau. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Layanan tidak dapat dimulai,Pengguna melaporkan layanan tidak dapat dimulai. Diperlukan investigasi lebih lanjut.
Jaringan,Port diblokir,Pengguna melaporkan port diblokir. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop berwarna kebiruan,Pengguna melaporkan layar laptop berwarna kebiruan. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Aplikasi berhenti mendadak saat uninstall,Pengguna melaporkan aplikasi berhenti mendadak saat uninstall. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Paket instalasi rusak,Pengguna melaporkan paket instalasi rusak. Diperlukan investigasi lebih lanjut.
Perangkat Lunak,Antivirus tidak dapat diperbarui,Pengguna melaporkan antivirus tidak dapat diperbarui. Diperlukan investigasi lebih lanjut.
Akses,Masalah login,Pengguna melaporkan masalah login. Diperlukan investigasi lebih lanjut.
Jaringan,QoS salah konfigurasi,Pengguna melaporkan qos salah konfigurasi. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Masalah kompatibilitas perangkat periferal,Pengguna melaporkan masalah kompatibilitas perangkat periferal. Diperlukan investigasi lebih lanjut.
Keamanan,Kredensial telah dikompromikan,Pengguna melaporkan kredensial telah dikompromikan. Diperlukan investigasi lebih lanjut.
Jaringan,Jaringan: kabel rusak,Pengguna melaporkan jaringan: kabel rusak. Diperlukan investigasi lebih lanjut.
Akses,Akses ditolak oleh aplikasi,Pengguna melaporkan akses ditolak oleh aplikasi. Diperlukan investigasi lebih lanjut.
Keamanan,Akses USB tidak sah,Pengguna melaporkan akses usb tidak sah. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop menampilkan garis vertikal,Pengguna melaporkan layar laptop menampilkan garis vertikal. Diperlukan investigasi lebih lanjut.
Perangkat Keras,Layar laptop menampilkan layar putih,Pengguna melaporkan layar laptop menampilkan layar putih. Diperlukan investigasi lebih lanjut.
