Kategori,Subkategori,Deskripsi
Akses,Akses ditolak oleh kebijakan SIEM,Tiket dibuat setelah pengguna menemukan Akses ditolak oleh kebijakan SIEM saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Akses ditolak oleh kebijakan SOC,Masalah Akses ditolak oleh kebijakan SOC muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Akses ditolak oleh kebijakan SOX,Permintaan dukungan dibuat karena Akses ditolak oleh kebijakan SOX terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Akses ditolak oleh kebijakan VPN,"Pada saat autentikasi, pengguna mengalami Akses ditolak oleh kebijakan VPN; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Akses ditolak oleh kebijakan auditor,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Akses ditolak oleh kebijakan auditor dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Akses ditolak oleh kebijakan browser,"Saat memulai pekerjaan, pengguna mendapati Akses ditolak oleh kebijakan browser; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Akses ditolak oleh kebijakan endpoint,Pengguna meminta bantuan karena Akses ditolak oleh kebijakan endpoint muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Akses ditolak oleh kebijakan enkripsi,Pengguna melaporkan Akses ditolak oleh kebijakan enkripsi; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Akses ditolak oleh kebijakan geolokasi,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Akses ditolak oleh kebijakan geolokasi pada layanan yang dibutuhkan.
Akses,Akses ditolak oleh kebijakan jaringan,"Saat mencoba menggunakan layanan kerja, pengguna menemui Akses ditolak oleh kebijakan jaringan; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Akses ditolak oleh kebijakan kata sandi,Tiket dibuat setelah pengguna menemukan Akses ditolak oleh kebijakan kata sandi saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Akses ditolak oleh kebijakan kepatuhan,Masalah Akses ditolak oleh kebijakan kepatuhan muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Akses ditolak oleh kebijakan khusus,Permintaan dukungan dibuat karena Akses ditolak oleh kebijakan khusus terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Akses ditolak oleh kebijakan kontraktor,"Pada saat autentikasi, pengguna mengalami Akses ditolak oleh kebijakan kontraktor; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Akses ditolak oleh kebijakan mitra,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Akses ditolak oleh kebijakan mitra dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Akses ditolak oleh kebijakan perangkat seluler,"Saat memulai pekerjaan, pengguna mendapati Akses ditolak oleh kebijakan perangkat seluler; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Akses ditolak oleh kebijakan regulasi,Pengguna meminta bantuan karena Akses ditolak oleh kebijakan regulasi muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Akses ditolak oleh kebijakan sertifikat,Pengguna melaporkan Akses ditolak oleh kebijakan sertifikat; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Akses ditolak oleh kebijakan sistem operasi,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Akses ditolak oleh kebijakan sistem operasi pada layanan yang dibutuhkan.
Akses,Akses ditolak oleh kebijakan tamu,"Saat mencoba menggunakan layanan kerja, pengguna menemui Akses ditolak oleh kebijakan tamu; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Akses ditolak oleh kebijakan token,Tiket dibuat setelah pengguna menemukan Akses ditolak oleh kebijakan token saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Akses ditolak oleh kebijakan vendor,Masalah Akses ditolak oleh kebijakan vendor muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Akses ditolak oleh kepatuhan perangkat,Permintaan dukungan dibuat karena Akses ditolak oleh kepatuhan perangkat terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Akses ditolak oleh kesalahan konfigurasi,"Pada saat autentikasi, pengguna mengalami Akses ditolak oleh kesalahan konfigurasi; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Akses ditolak oleh kesalahan sistem,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Akses ditolak oleh kesalahan sistem dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Akses ditolak oleh layanan cloud,"Saat memulai pekerjaan, pengguna mendapati Akses ditolak oleh layanan cloud; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Akses ditolak oleh pembatasan sementara,Pengguna meminta bantuan karena Akses ditolak oleh pembatasan sementara muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Akses ditolak oleh penyedia SaaS,Pengguna melaporkan Akses ditolak oleh penyedia SaaS; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Akses ditolak oleh proxy,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Akses ditolak oleh proxy pada layanan yang dibutuhkan.
Akses,Akses ditolak oleh router,"Saat mencoba menggunakan layanan kerja, pengguna menemui Akses ditolak oleh router; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Akses ditolak oleh server,Tiket dibuat setelah pengguna menemukan Akses ditolak oleh server saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Akses ditolak oleh switch,Masalah Akses ditolak oleh switch muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Akses kartu identitas/fisik ditolak,Permintaan dukungan dibuat karena Akses kartu identitas/fisik ditolak terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Akses pengguna ditolak,"Pada saat autentikasi, pengguna mengalami Akses pengguna ditolak; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Akun cloud ditangguhkan,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Akun cloud ditangguhkan dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Akun dinonaktifkan oleh kebijakan,"Saat memulai pekerjaan, pengguna mendapati Akun dinonaktifkan oleh kebijakan; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Akun email dinonaktifkan,Pengguna meminta bantuan karena Akun email dinonaktifkan muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Akun tamu dinonaktifkan,Pengguna melaporkan Akun tamu dinonaktifkan; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Akun terkunci,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Akun terkunci pada layanan yang dibutuhkan.
Akses,Akun tidak aktif,"Saat mencoba menggunakan layanan kerja, pengguna menemui Akun tidak aktif; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Autentikasi LDAP gagal,Tiket dibuat setelah pengguna menemukan Autentikasi LDAP gagal saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Batas waktu akses habis,Masalah Batas waktu akses habis muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Daftar kontrol akses salah konfigurasi,Permintaan dukungan dibuat karena Daftar kontrol akses salah konfigurasi terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Eskalasi hak akses diblokir,"Pada saat autentikasi, pengguna mengalami Eskalasi hak akses diblokir; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Folder bersama tidak dapat diakses,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Folder bersama tidak dapat diakses dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Hak akses dicabut,"Saat memulai pekerjaan, pengguna mendapati Hak akses dicabut; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Kata sandi sementara kedaluwarsa,Pengguna meminta bantuan karena Kata sandi sementara kedaluwarsa muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Kegagalan audit akses,Pengguna melaporkan Kegagalan audit akses; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Kegagalan autentikasi multi-faktor,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Kegagalan autentikasi multi-faktor pada layanan yang dibutuhkan.
Akses,Kegagalan login SSO,"Saat mencoba menggunakan layanan kerja, pengguna menemui Kegagalan login SSO; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Kegagalan login dengan sertifikat,Tiket dibuat setelah pengguna menemukan Kegagalan login dengan sertifikat saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Kegagalan login remote desktop,Masalah Kegagalan login remote desktop muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Kegagalan pencatatan akses,Permintaan dukungan dibuat karena Kegagalan pencatatan akses terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Kesalahan akses berbasis peran,"Pada saat autentikasi, pengguna mengalami Kesalahan akses berbasis peran; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Kesalahan delegasi akses,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Kesalahan delegasi akses dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Kesalahan penyediaan akun,"Saat memulai pekerjaan, pengguna mendapati Kesalahan penyediaan akun; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Kesalahan sinkronisasi direktori,Pengguna meminta bantuan karena Kesalahan sinkronisasi direktori muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Ketidaksesuaian peran akses,Pengguna melaporkan Ketidaksesuaian peran akses; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Kunci API kedaluwarsa,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Kunci API kedaluwarsa pada layanan yang dibutuhkan.
Akses,Lisensi kedaluwarsa,"Saat mencoba menggunakan layanan kerja, pengguna menemui Lisensi kedaluwarsa; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Login VPN ditolak,Tiket dibuat setelah pengguna menemukan Login VPN ditolak saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Login biometrik gagal,Masalah Login biometrik gagal muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Masalah izin drive bersama,Permintaan dukungan dibuat karena Masalah izin drive bersama terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Masalah keanggotaan grup,"Pada saat autentikasi, pengguna mengalami Masalah keanggotaan grup; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Masalah login,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Masalah login dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Pelanggaran kebijakan akses,"Saat memulai pekerjaan, pengguna mendapati Pelanggaran kebijakan akses; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Pelanggaran kepatuhan akses,Pengguna meminta bantuan karena Pelanggaran kepatuhan akses muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Pemantauan akses dinonaktifkan,Pengguna melaporkan Pemantauan akses dinonaktifkan; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Pencabutan akses tertunda,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Pencabutan akses tertunda pada layanan yang dibutuhkan.
Akses,Percobaan login tidak sah,"Saat mencoba menggunakan layanan kerja, pengguna menemui Percobaan login tidak sah; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Permintaan akses sementara,Tiket dibuat setelah pengguna menemukan Permintaan akses sementara saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Permintaan hak administrator,Masalah Permintaan hak administrator muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Persetujuan akses tertunda,Permintaan dukungan dibuat karena Persetujuan akses tertunda terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Reset PIN diperlukan,"Pada saat autentikasi, pengguna mengalami Reset PIN diperlukan; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Reset kata sandi,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Reset kata sandi dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Smart card tidak dikenali,"Saat memulai pekerjaan, pengguna mendapati Smart card tidak dikenali; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Tiket Kerberos kedaluwarsa,Pengguna meminta bantuan karena Tiket Kerberos kedaluwarsa muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Token akses salah konfigurasi,Pengguna melaporkan Token akses salah konfigurasi; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Token kedaluwarsa,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Token kedaluwarsa pada layanan yang dibutuhkan.
Akses,Akses ditolak oleh API,Pengguna melaporkan Akses ditolak oleh API; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Akses ditolak oleh akses bersyarat,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Akses ditolak oleh akses bersyarat pada layanan yang dibutuhkan.
Akses,Akses ditolak oleh aplikasi,"Saat mencoba menggunakan layanan kerja, pengguna menemui Akses ditolak oleh aplikasi; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Akses ditolak oleh basis data,Tiket dibuat setelah pengguna menemukan Akses ditolak oleh basis data saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Akses ditolak oleh firewall,Masalah Akses ditolak oleh firewall muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Akses ditolak oleh gangguan layanan,Permintaan dukungan dibuat karena Akses ditolak oleh gangguan layanan terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Akses ditolak oleh gateway,"Pada saat autentikasi, pengguna mengalami Akses ditolak oleh gateway; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Akses ditolak oleh jendela pemeliharaan,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Akses ditolak oleh jendela pemeliharaan dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Akses ditolak oleh kebijakan ABAC,"Saat memulai pekerjaan, pengguna mendapati Akses ditolak oleh kebijakan ABAC; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Akses ditolak oleh kebijakan BYOD,Pengguna meminta bantuan karena Akses ditolak oleh kebijakan BYOD muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Akses ditolak oleh kebijakan CASB,Pengguna melaporkan Akses ditolak oleh kebijakan CASB; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Akses ditolak oleh kebijakan CIS,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Akses ditolak oleh kebijakan CIS pada layanan yang dibutuhkan.
Akses,Akses ditolak oleh kebijakan DLP,"Saat mencoba menggunakan layanan kerja, pengguna menemui Akses ditolak oleh kebijakan DLP; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Akses ditolak oleh kebijakan GDPR,Tiket dibuat setelah pengguna menemukan Akses ditolak oleh kebijakan GDPR saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Akses ditolak oleh kebijakan HIPAA,Masalah Akses ditolak oleh kebijakan HIPAA muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Akses ditolak oleh kebijakan IAM,Permintaan dukungan dibuat karena Akses ditolak oleh kebijakan IAM terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Akses ditolak oleh kebijakan ISO,"Pada saat autentikasi, pengguna mengalami Akses ditolak oleh kebijakan ISO; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Akses ditolak oleh kebijakan MFA,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Akses ditolak oleh kebijakan MFA dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Akses ditolak oleh kebijakan NIST,"Saat memulai pekerjaan, pengguna mendapati Akses ditolak oleh kebijakan NIST; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Akses ditolak oleh kebijakan PCI,Pengguna meminta bantuan karena Akses ditolak oleh kebijakan PCI muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Akses ditolak oleh kebijakan RBAC,Pengguna melaporkan Akses ditolak oleh kebijakan RBAC; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Akses ditolak oleh kebijakan SIEM,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Akses ditolak oleh kebijakan SIEM pada layanan yang dibutuhkan.
Akses,Akses ditolak oleh kebijakan SOC,"Saat mencoba menggunakan layanan kerja, pengguna menemui Akses ditolak oleh kebijakan SOC; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Akses ditolak oleh kebijakan SOX,Tiket dibuat setelah pengguna menemukan Akses ditolak oleh kebijakan SOX saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Akses ditolak oleh kebijakan VPN,Masalah Akses ditolak oleh kebijakan VPN muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Akses ditolak oleh kebijakan auditor,Permintaan dukungan dibuat karena Akses ditolak oleh kebijakan auditor terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Akses ditolak oleh kebijakan browser,"Pada saat autentikasi, pengguna mengalami Akses ditolak oleh kebijakan browser; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Akses ditolak oleh kebijakan endpoint,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Akses ditolak oleh kebijakan endpoint dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Akses ditolak oleh kebijakan enkripsi,"Saat memulai pekerjaan, pengguna mendapati Akses ditolak oleh kebijakan enkripsi; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Akses ditolak oleh kebijakan geolokasi,Pengguna meminta bantuan karena Akses ditolak oleh kebijakan geolokasi muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Akses ditolak oleh kebijakan jaringan,Pengguna melaporkan Akses ditolak oleh kebijakan jaringan; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Akses ditolak oleh kebijakan kata sandi,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Akses ditolak oleh kebijakan kata sandi pada layanan yang dibutuhkan.
Akses,Akses ditolak oleh kebijakan kepatuhan,"Saat mencoba menggunakan layanan kerja, pengguna menemui Akses ditolak oleh kebijakan kepatuhan; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Akses ditolak oleh kebijakan khusus,Tiket dibuat setelah pengguna menemukan Akses ditolak oleh kebijakan khusus saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Akses ditolak oleh kebijakan kontraktor,Masalah Akses ditolak oleh kebijakan kontraktor muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Akses ditolak oleh kebijakan mitra,Permintaan dukungan dibuat karena Akses ditolak oleh kebijakan mitra terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Akses ditolak oleh kebijakan perangkat seluler,"Pada saat autentikasi, pengguna mengalami Akses ditolak oleh kebijakan perangkat seluler; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Akses ditolak oleh kebijakan regulasi,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Akses ditolak oleh kebijakan regulasi dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Akses ditolak oleh kebijakan sertifikat,"Saat memulai pekerjaan, pengguna mendapati Akses ditolak oleh kebijakan sertifikat; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Akses ditolak oleh kebijakan sistem operasi,Pengguna meminta bantuan karena Akses ditolak oleh kebijakan sistem operasi muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Akses ditolak oleh kebijakan tamu,Pengguna melaporkan Akses ditolak oleh kebijakan tamu; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Akses ditolak oleh kebijakan token,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Akses ditolak oleh kebijakan token pada layanan yang dibutuhkan.
Akses,Akses ditolak oleh kebijakan vendor,"Saat mencoba menggunakan layanan kerja, pengguna menemui Akses ditolak oleh kebijakan vendor; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Akses ditolak oleh kepatuhan perangkat,Tiket dibuat setelah pengguna menemukan Akses ditolak oleh kepatuhan perangkat saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Akses ditolak oleh kesalahan konfigurasi,Masalah Akses ditolak oleh kesalahan konfigurasi muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Akses ditolak oleh kesalahan sistem,Permintaan dukungan dibuat karena Akses ditolak oleh kesalahan sistem terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Akses ditolak oleh layanan cloud,"Pada saat autentikasi, pengguna mengalami Akses ditolak oleh layanan cloud; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Akses ditolak oleh pembatasan sementara,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Akses ditolak oleh pembatasan sementara dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Akses ditolak oleh penyedia SaaS,"Saat memulai pekerjaan, pengguna mendapati Akses ditolak oleh penyedia SaaS; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Akses ditolak oleh proxy,Pengguna meminta bantuan karena Akses ditolak oleh proxy muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Akses ditolak oleh router,Pengguna melaporkan Akses ditolak oleh router; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Akses ditolak oleh server,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Akses ditolak oleh server pada layanan yang dibutuhkan.
Akses,Akses ditolak oleh switch,"Saat mencoba menggunakan layanan kerja, pengguna menemui Akses ditolak oleh switch; proses masuk tidak dapat dilanjutkan meskipun sudah dicoba kembali."
Akses,Akses kartu identitas/fisik ditolak,Tiket dibuat setelah pengguna menemukan Akses kartu identitas/fisik ditolak saat hendak menggunakan layanan untuk pekerjaan rutin.
Akses,Akses pengguna ditolak,Masalah Akses pengguna ditolak muncul pada saat pengguna mencoba membuka layanan internal dan tetap terjadi setelah percobaan ulang.
Akses,Akun cloud ditangguhkan,Permintaan dukungan dibuat karena Akun cloud ditangguhkan terjadi ketika pengguna mencoba mengakses layanan yang diperlukan.
Akses,Akun dinonaktifkan oleh kebijakan,"Pada saat autentikasi, pengguna mengalami Akun dinonaktifkan oleh kebijakan; percobaan ulang belum memulihkan akses yang dibutuhkan."
Akses,Akun email dinonaktifkan,"Ketika mencoba masuk dari perangkat yang biasa digunakan, terjadi Akun email dinonaktifkan dan pengguna tidak dapat melanjutkan aktivitas."
Akses,Akun tamu dinonaktifkan,"Saat memulai pekerjaan, pengguna mendapati Akun tamu dinonaktifkan; sumber daya terkait tidak dapat digunakan seperti biasanya."
Akses,Akun terkunci,Pengguna meminta bantuan karena Akun terkunci muncul ketika membuka sumber daya yang sebelumnya dapat digunakan.
Akses,Akun tidak aktif,Pengguna melaporkan Akun tidak aktif; kendala tersebut membuat sumber daya yang diperlukan tidak dapat dibuka.
Akses,Autentikasi LDAP gagal,Pengguna tidak dapat menyelesaikan proses masuk karena mengalami Autentikasi LDAP gagal pada layanan yang dibutuhkan.
